TIME (s),East Distance (m),Distance Above Sea Level (m),North Distance (m),Velocity East (m/s),Velocity Up (m/s),Velocity North (m/s),Spin Rate (rpm),Air Density (kg/m^3),Air Temperature (K)
0.000000,0.000000,0.000000,0.000000,0.000000,13.961925,799.878156,269966.254218,1.221097,288.150000
0.001000,0.000000,0.013952,0.799542,0.000000,13.938056,799.072305,269944.666707,1.221098,288.149909
0.002000,0.000000,0.027880,1.598279,0.000000,13.914219,798.267737,269923.102667,1.221098,288.149819
0.003000,0.000000,0.041784,2.396212,0.000000,13.890415,797.464444,269901.562060,1.221099,288.149728
0.004000,0.000000,0.055665,3.193343,0.000000,13.866642,796.662424,269880.044844,1.221099,288.149638
0.005000,0.000000,0.069522,3.989671,0.000000,13.842901,795.861676,269858.550981,1.221100,288.149548
0.006000,0.000000,0.083355,4.785200,0.000000,13.819193,795.062196,269837.080431,1.221100,288.149458
0.007000,0.000000,0.097164,5.579929,0.000000,13.795516,794.263983,269815.633154,1.221101,288.149368
0.008000,0.000000,0.110950,6.373861,0.000000,13.771871,793.467034,269794.209111,1.221101,288.149279
0.009000,0.000000,0.124712,7.166997,0.000000,13.748257,792.671348,269772.808263,1.221102,288.149189
0.010000,0.000000,0.138450,7.959337,0.000000,13.724676,791.876920,269751.430569,1.221102,288.149100
0.011000,0.000000,0.152165,8.750883,0.000000,13.701126,791.083751,269730.075992,1.221102,288.149011
0.012000,0.000000,0.165856,9.541637,0.000000,13.677607,790.291837,269708.744492,1.221103,288.148922
0.013000,0.000000,0.179524,10.331599,0.000000,13.654120,789.501175,269687.436030,1.221103,288.148833
0.014000,0.000000,0.193168,11.120771,0.000000,13.630665,788.711765,269666.150567,1.221104,288.148744
0.015000,0.000000,0.206789,11.909155,0.000000,13.607241,787.923603,269644.888064,1.221104,288.148656
0.016000,0.000000,0.220387,12.696750,0.000000,13.583848,787.136687,269623.648482,1.221105,288.148567
0.017000,0.000000,0.233961,13.483560,0.000000,13.560487,786.351016,269602.431782,1.221105,288.148479
0.018000,0.000000,0.247512,14.269584,0.000000,13.537156,785.566586,269581.237926,1.221106,288.148391
0.019000,0.000000,0.261039,15.054824,0.000000,13.513857,784.783396,269560.066876,1.221106,288.148303
0.020000,0.000000,0.274543,15.839282,0.000000,13.490589,784.001443,269538.918592,1.221107,288.148215
0.021000,0.000000,0.288024,16.622958,0.000000,13.467352,783.220726,269517.793036,1.221107,288.148128
0.022000,0.000000,0.301482,17.405853,0.000000,13.444146,782.441241,269496.690171,1.221107,288.148040
0.023000,0.000000,0.314916,18.187970,0.000000,13.420971,781.662980,269475.609957,1.221108,288.147953
0.024000,0.000000,0.328328,18.969310,0.000000,13.397826,780.885929,269454.552357,1.221108,288.147866
0.025000,0.000000,0.341716,19.749872,0.000000,13.374712,780.110085,269433.517333,1.221109,288.147779
0.026000,0.000000,0.355081,20.529659,0.000000,13.351628,779.335447,269412.504847,1.221109,288.147692
0.027000,0.000000,0.368423,21.308673,0.000000,13.328575,778.562011,269391.514863,1.221110,288.147605
0.028000,0.000000,0.381742,22.086913,0.000000,13.305551,777.789777,269370.547343,1.221110,288.147519
0.029000,0.000000,0.395038,22.864381,0.000000,13.282558,777.018742,269349.602249,1.221111,288.147432
